cell.id	cell_histology	cell_lineage	cell_type
A375	melanoma	skin	cancer
A549	"carcinoma,non-small cell"	lung	cancer
HA1E	normal kidney	"large intestine,rectum"	immortalized normal
HCC515	carcinoma	lung	cancer
HEPG2	"carcinoma,hepatocellular"	liver	cancer
HT29	"adenocarcinoma,colorectal"	"large intestine,colon"	cancer
MCF7	carcinoma	breast	cancer
PC3	carcinoma	prostate	cancer
VCAP	carcinoma	prostate	cancer
A673	"sarcoma,Ewings,PNET"	"bone,muscle"	cancer
AGS	"adenocarcinoma,gastric"	stomach	cancer
CL34	carcinoma	large intestine	cancer
CORL23	"carcinoma,large cell"	lung	cancer
COV644	carcinoma	ovary	cancer
DV90	carcinoma	lung	cancer
EFO27	mucinous carcinoma	ovary	cancer
HCC15	"carcinoma,squamous cell"	lung	cancer
HCT116	"carcinoma,colorectal"	"large intestine,colon"	cancer
HEC108	carcinoma	endometrium	cancer
HT115	carcinoma	"large intestine,colon"	cancer
JHUEM2	carcinoma	endometrium	cancer
LOVO	"adenocarcinoma,colorectal"	"large intestine,colon"	cancer
MDST8	adenocarcinoma	"large intestine,colon"	cancer
NCIH1694	"carcinoma,small cell"	lung	cancer
NCIH1836	"carcinoma,small cell"	lung	cancer
NCIH2073	"adenocarcinoma,NSCLC"	lung	cancer
NCIH508	"adenocarcinoma,colorectal"	"large intestine,cecum"	cancer
NCIH596	"carcinoma,mixed adenosquamous"	lung	cancer
NOMO1	"leukemia,AML"	"haematopoietic,lymphoid"	cancer
OV7	carcinoma	ovary	cancer
PL21	"leukemia,AML"	"haematopoietic,lymphoid"	cancer
RMGI	"carcinoma,clearcell"	ovary	cancer
RMUGS	carcinoma	ovary	cancer
SKLU1	carcinoma	lung	cancer
SKM1	"leukemia,AML"	"haematopoietic,lymphoid"	cancer
SKMEL1	melanoma	skin	cancer
SKMEL28	melanoma	skin	cancer
SNGM	carcinoma	"endometrium,uterus"	cancer
SNU1040	carcinoma	"large intestine,colon"	cancer
SNUC4	adenocarcinoma	"large intestine,colon"	cancer
SNUC5	adenocarcinoma	"large intestine,colon"	cancer
SW480	"adenocarcinoma,colorectal"	"large intestine,colon"	cancer
SW620	"adenocarcinoma,colorectal"	"large intestine,colon"	cancer
SW948	"adenocarcinoma,colorectal"	"large intestine,colon"	cancer
T3M10	"carcinoma,large cell"	lung	cancer
THP1	"leukemia,acute monocytic"	"haematopoietic,lymphoid,monocyte"	cancer
TYKNU	"carcinoma,undifferentiated"	ovary	cancer
U937	"lymphoma,diffuse large B cell"	"haematopoietic,lymphoid,macrophage"	cancer
WSUDLCL2	"lymphoma,diffuse large B cell"	"haematopoietic,lymphoid"	cancer
ASC	normal primary adipocyte stem cells	adipose	primary
NEU	normal terminally differentiated NPc fibroblast-derived iPScs	"CNS,iPS"	primary
NPC	normal stem fibroblast-derived iPScs	"CNS,iPS"	primary
PHH	normal primary liver	liver	primary
SKB	myoblast	muscle	primary
HUH7	"carcinoma,hepatocellular"	liver	cancer
SHSY5Y	neuroblastoma	autonomic ganglia	cancer
HEK293T	embryonal kidney	kidney	-666
SKL	normal primary skeletal myocytes	skeletal muscle	primary
HS27A	-666	bone marrow/stroma	immortalized normal
BT20	"carcinoma,ductal"	breast	cancer
HS578T	"carcinoma,ductal"	breast	cancer
MCF10A	carcinoma	breast	-666
MDAMB231	carcinoma	breast	cancer
SKBR3	carcinoma	breast	cancer
FIBRNPC	normal primary 	"CNS,iPS"	primary
NEU.KCL	normal terminally differentiated neuron treated with KCL	neural	primary
NKDBA	-666	-666	primary
HEKTE	-666	-666	immortalized normal
MCH58	-666	fibroblast	immortalized normal
NCIH716	"adenocarcinoma,colorectal"	"large intestine,cecum"	cancer
CD34	progenitor cells	bone marrow	primary
H1299	carcinoma	lung	-666
HL60	"leukemia,acute promyelocytic"	"haematopoietic,lymphoid"	cancer
JURKAT	"leukaemia,acute lymphoblastic B cell"	"haematopoietic,lymphoid"	cancer
RKO	carcinoma	large intestine	cancer
U266	myeloma	"haematopoietic,lymphoid"	-666
U2OS	osteosarcoma	bone	cancer
